7/11/2013 9:05:51 PM Текущее кол-во золота 57581, максимальная стоимость стата 0
7/11/2013 9:11:04 PM Текущее кол-во золота 57581, максимальная стоимость стата 0
7/11/2013 9:27:07 PM Текущее кол-во золота 1088793, максимальная стоимость стата 0
7/11/2013 9:36:55 PM Текущее кол-во золота 1628, максимальная стоимость стата 0
7/11/2013 9:40:53 PM Текущее кол-во золота 1151517, максимальная стоимость стата 0
7/11/2013 9:42:21 PM Текущее кол-во золота 1151517, максимальная стоимость стата 0
7/11/2013 9:44:38 PM Текущее кол-во золота 1151517, максимальная стоимость стата 0
7/11/2013 9:44:55 PM Текущее кол-во золота 1628, максимальная стоимость стата 0
7/11/2013 10:52:19 PM Текущее кол-во золота 3028919, максимальная стоимость стата 0
7/11/2013 10:55:30 PM Текущее кол-во золота 3022341, максимальная стоимость стата 0
7/11/2013 10:58:39 PM Текущее кол-во золота 135197341, максимальная стоимость стата 0
